community_name,area,unit_price,room,size,subway,bus,kindergarten,primary-school,hospital,supermarket,park
蓝山公馆,雁塔,12454,2室1厅,69.86平米,385米,646米,680米,501米,227米,215米,725米
旭景新港,莲湖,12454,2室2厅,94.75平米,1176米,954米,676米,367米,179米,134米,1425米
科创小区北区,雁塔,12464,3室2厅,128.37平米,485米,795米,216米,530米,759米,1001米,1372米
宏府安定广场4号楼,莲湖,12467,2室2厅,118.72平米,114米,543米,511米,913米,514米,754米,701米
三民馨苑,莲湖,12469,2室2厅,92.23平米,619米,727米,602米,240米,550米,595米,
御笔华庭,莲湖,12475,2室1厅,76.96平米,458米,167米,226米,849米,259米,515米,1331米
雅荷春天,未央,12476,2室2厅,90.58平米,469米,496米,749米,780米,259米,455米,1349米
双威理想城,未央,12476,1室1厅,51.3平米,733米,244米,381米,473米,533米,,1279米
兴盛园,未央,12477,1室1厅,48.89平米,1035米,408米,339米,965米,380米,1760米,1634米
绿地璀璨天城,灞桥,12484,2室2厅,88.92平米,835米,438米,1401米,1392米,1144米,1714米,1729米
新兴骏景园,新城区,12486,2室1厅,92.91平米,821米,856米,732米,936米,959米,772米,1125米
民乐园万达小区,新城区,12487,1室0厅,45.25平米,454米,389米,403米,527米,564米,186米,314米
华宇时间城,未央,12487,2室1厅,85.69平米,1717米,306米,766米,551米,1864米,895米,
春天花园,长安,12490,3室1厅,96.08平米,558米,452米,308米,723米,491米,550米,1454米
西宝花园,碑林,12493,3室2厅,100.06平米,411米,352米,111米,652米,900米,259米,490米
西京社区东/西区,雁塔,12496,2室1厅,61.62平米,1512米,588米,216米,898米,937米,823米,1110米
紫昕花庭,新城区,12500,1室2厅,63.92平米,522米,558米,784米,698米,660米,460米,1090米
时代明丰苑,未央,12502,3室2厅,111.19平米,580米,127米,706米,717米,172米,290米,330米
华清学府城,新城区,12503,2室2厅,97.58平米,393米,1000米,787米,207米,939米,271米,1287米
御笔华府,雁塔,12504,2室1厅,79.98平米,876米,785米,199米,679米,229米,734米,
吉源美郡,长安,12504,3室1厅,95.97平米,634米,453米,393米,948米,731米,406米,1733米
唐韵三坊,新城区,12508,2室2厅,78.35平米,932米,980米,76米,500米,694米,184米,302米
广丰花园,未央,12511,2室1厅,93.52平米,526米,18米,222米,142米,299米,372米,441米
海璟新天地,未央,12511,2室2厅,102.31平米,1053米,617米,881米,522米,883米,,672米
浐灞半岛A15区,灞桥,12516,1室2厅,73.51平米,743米,251米,241米,1059米,777米,227米,
浐灞半岛A5区,未央,12520,3室1厅,91.86平米,1208米,178米,775米,546米,258米,254米,
怡兴大厦,雁塔,12522,2室1厅,53.51平米,510米,517米,362米,221米,641米,58米,1105米
普天小区,新城区,12523,2室2厅,102.22平米,603米,160米,787米,620米,919米,628米,1100米
水岸东方2期,灞桥,12524,3室2厅,139.74平米,1418米,666米,185米,740米,851米,1014米,1546米
金桥太阳岛,未央,12525,2室2厅,87.83平米,1264米,728米,716米,179米,778米,447米,457米
浐灞新城翠园小区,灞桥,12525,2室1厅,82.24平米,918米,468米,296米,1057米,283米,375米,1307米
宏林尚品,莲湖,12532,2室1厅,94.88平米,480米,760米,506米,1021米,250米,384米,
水岸东方1期,灞桥,12537,3室2厅,127.63平米,728米,231米,38米,409米,406米,900米,881米
西市佳园,莲湖,12538,1室0厅,43.87平米,583米,560米,1020米,1151米,742米,325米,781米
南康小区,未央,12548,3室1厅,105.2平米,1179米,964米,928米,664米,1150米,371米,1438米
民洁小区,雁塔,12551,2室1厅,91.63平米,704米,684米,800米,1356米,716米,382米,
西航西苑小区,未央,12559,2室1厅,87.59平米,868米,329米,622米,650米,701米,289米,670米
欧洲世家,未央,12565,3室2厅,147.24平米,387米,976米,292米,455米,1653米,406米,463米
彩云郡,新城区,12576,2室2厅,89.86平米,487米,423米,552米,921米,1445米,1384米,336米
中铁缤纷新城,灞桥,12578,2室1厅,85.07平米,620米,700米,447米,613米,559米,473米,1304米
卡布奇诺公馆,雁塔,12583,2室2厅,96.96平米,795米,592米,735米,1304米,625米,295米,
华城泊郡,雁塔,12587,1室0厅,44.89平米,262米,352米,715米,925米,755米,182米,1372米
天然居二期,雁塔,12588,2室2厅,107.25平米,1144米,703米,561米,230米,324米,597米,453米
爱菊欣园,未央,12597,1室1厅,59.54平米,496米,654米,527米,443米,958米,331米,767米
桐芳巷社区,莲湖,12603,2室2厅,88.87平米,715米,719米,383米,770米,734米,891米,1552米
雅逸新城二期,莲湖,12610,2室2厅,82.48平米,726米,364米,78米,226米,1404米,,1328米
御笔华庭,莲湖,12610,1室1厅,59.48平米,458米,167米,226米,849米,259米,465米,1331米
融发心园,长安,12619,3室2厅,130.76平米,582米,311米,501米,503米,699米,1509米,1117米
景致雅居,碑林,12621,3室1厅,120.44平米,505米,190米,630米,1018米,812米,948米,1561米
华宇时间城,未央,12621,2室2厅,87.16平米,1717米,306米,766米,551米,1864米,895米,
新东尚,新城区,12622,2室2厅,94.28平米,347米,309米,375米,1175米,716米,1242米,1653米
曲江澜山,长安,12623,3室2厅,129.93平米,1271米,118米,215米,553米,1364米,277米,1308米
吉源美郡,长安,12633,2室2厅,87.87平米,634米,453米,393米,948米,731米,406米,1733米
东城新一家,灞桥,12636,3室2厅,98.93平米,735米,522米,784米,839米,814米,491米,1666米
市政馨苑,未央,12639,2室2厅,94.95平米,685米,407米,824米,190米,915米,658米,936米
荣华北经城南区,未央,12639,1室0厅,42.41平米,694米,200米,752米,626米,324米,947米,541米
金海湾,灞桥,12643,2室2厅,87.8平米,304米,300米,224米,811米,541米,284米,616米
华宇时间城,未央,12646,2室1厅,70.3平米,1717米,306米,766米,551米,1864米,895米,
浐灞半岛A15区,灞桥,12652,1室1厅,73.51平米,743米,251米,241米,1059米,777米,227米,
东方名苑,未央,12655,3室2厅,96.41平米,607米,606米,310米,257米,350米,777米,1487米
水岸东方2期,灞桥,12659,2室1厅,91.64平米,1418米,666米,185米,740米,851米,1461米,1546米
长安易居,未央,12660,2室1厅,76.62平米,1080米,442米,213米,343米,725米,224米,1800米
蔚蓝花城,莲湖,12663,2室2厅,91.61平米,438米,266米,454米,696米,560米,237米,520米
华远辰悦,未央,12668,3室1厅,112.89平米,1999米,935米,280米,204米,681米,1061米,1988米
鼎新公寓,未央,12671,1室1厅,49.09平米,643米,147米,454米,721米,671米,1443米,838米
海璟印象城,未央,12675,2室1厅,95.86平米,1194米,542米,896米,281米,1160米,849米,1743米
天都佳苑,雁塔,12677,3室1厅,97.03平米,678米,543米,125米,1282米,603米,388米,832米
雅逸新城二期,莲湖,12682,2室1厅,54.41平米,726米,364米,78米,226米,1404米,737米,1328米
江林新城B区,雁塔,12682,1室1厅,43.37平米,995米,186米,348米,886米,817米,805米,290米
美丽的院子,雁塔,12693,1室0厅,39.55平米,1093米,989米,230米,687米,80米,61米,
橄榄国际,雁塔,12695,2室1厅,62.23平米,1030米,359米,397米,334米,568米,526米,129米
御溪书院,碑林,12698,2室1厅,67.73平米,660米,611米,426米,531米,419米,618米,1443米
新东尚,新城区,12702,2室2厅,85.82平米,347米,309米,375米,1175米,716米,1242米,1653米
东城新一家,灞桥,12705,3室2厅,122平米,735米,522米,784米,839米,814米,491米,1666米
曲江澜山,长安,12706,3室2厅,139.31平米,1271米,118米,215米,553米,1364米,277米,1308米
阳光北郡,未央,12710,2室2厅,81.83平米,1219米,1065米,1029米,724米,313米,1579米,1613米
三星丽座,长安,12716,3室2厅,74.71平米,917米,289米,650米,244米,745米,595米,1514米
唐园小区,雁塔,12718,2室2厅,73.13平米,492米,328米,801米,33米,413米,356米,1291米
春天花园,长安,12718,2室1厅,80.99平米,558米,452米,308米,723米,491米,550米,1454米
榕青无界,雁塔,12719,2室1厅,56.61平米,300米,252米,479米,729米,385米,180米,1360米
江林新城B区,雁塔,12719,2室1厅,85.7平米,995米,186米,348米,886米,817米,805米,290米
华旗东郡,新城区,12721,2室1厅,79.4平米,1171米,1118米,88米,1168米,715米,1467米,438米
旭景新港,莲湖,12722,2室1厅,94.33平米,1176米,954米,676米,367米,179米,134米,1425米
智慧城,长安,12723,2室1厅,90.39平米,700米,296米,503米,498米,522米,447米,1701米
东方名苑,未央,12724,3室2厅,96.67平米,607米,606米,310米,257米,350米,724米,1487米
长庆湖滨花园七区,未央,12727,2室2厅,83.29平米,1139米,528米,900米,,1632米,534米,1413米
澳城大厦,雁塔,12734,1室1厅,57.33平米,677米,377米,302米,1008米,170米,131米,978米
恒泰小区,莲湖,12747,2室1厅,64.33平米,1254米,536米,1102米,725米,684米,637米,603米
旭景名园,莲湖,12754,2室2厅,119.18平米,582米,290米,245米,438米,719米,937米,1377米
江林新城C区,雁塔,12756,2室2厅,96.43平米,1171米,502米,1080米,1137米,1099米,1054米,396米
山水家园小区,灞桥,12762,2室2厅,100.3平米,587米,289米,568米,790米,191米,723米,1761米
旭景名园,莲湖,12765,2室1厅,116.73平米,582米,290米,245米,438米,719米,937米,1377米
富力白鹭湾南区,灞桥,12765,3室2厅,103.41平米,1949米,354米,217米,664米,,110米,847米
华府御城,莲湖,12765,2室2厅,83.04平米,975米,470米,822米,982米,1059米,714米,875米
茗景城,长安,12768,3室2厅,122.97平米,242米,217米,102米,1063米,335米,99米,1698米
蔚蓝印象,莲湖,12768,2室1厅,91.64平米,531米,1190米,707米,537米,685米,1247米,237米
庆华长安家园,灞桥,12772,3室2厅,106.49平米,379米,175米,1197米,1037米,1781米,1170米,505米
华陆经九路小区,碑林,12775,3室1厅,88.46平米,890米,324米,162米,381米,520米,1082米,1370米
彩云郡,新城区,12776,2室2厅,85.32平米,487米,423米,552米,921米,1445米,1384米,336米
金茂紫庭,新城区,12778,2室1厅,82.96平米,740米,217米,705米,1452米,1134米,1086米,
陕西歌剧院家属院,碑林,12778,2室1厅,59.48平米,752米,1148米,458米,698米,893米,905米,1519米
融尚中央住区,雁塔,12781,1室0厅,35.21平米,1191米,305米,690米,1079米,958米,559米,953米
宏府麒麟山,雁塔,12784,2室1厅,54.76平米,1349米,137米,675米,261米,1257米,770米,930米
保利林语溪,灞桥,12784,4室1厅,139.24平米,1537米,94米,453米,1040米,1540米,167米,399米
海璟台北湾南区,未央,12788,2室1厅,96.19平米,716米,1165米,423米,545米,876米,104米,1221米
金源皇家园林,未央,12790,2室2厅,82.1平米,664米,498米,246米,766米,639米,645米,1475米
华远辰悦,未央,12792,3室2厅,127.43平米,1999米,935米,280米,204米,681米,1061米,1988米
利君未来城,未央,12793,3室2厅,100.06平米,1380米,513米,209米,1043米,524米,540米,1429米
新东尚,新城区,12795,2室2厅,85.82平米,347米,309米,375米,1175米,716米,1242米,1653米
金仕华城,未央,12796,2室2厅,80.03平米,1088米,371米,464米,396米,1015米,384米,1819米
新东尚,新城区,12798,2室2厅,96.74平米,347米,309米,375米,1175米,716米,1242米,1653米
中航工业自控所生活一三区,雁塔,12806,3室2厅,94.49平米,1478米,1232米,796米,158米,590米,812米,1671米
御锦城原香,灞桥,12813,3室2厅,131.9平米,,1058米,223米,572米,1555米,573米,321米
灞业大境,灞桥,12815,3室1厅,110.03平米,957米,661米,161米,571米,1084米,135米,1973米
粮油家属院（丰登北路）,莲湖,12818,1室1厅,50.71平米,479米,371米,419米,336米,219米,834米,654米
